Z_PK,Z_ENT,Z_OPT,ZCAMPAIGN_WEBSITE,ZOFFICIAL_WEBSITE,ZCOMMITTEES,ZEMAIL,ZELECTION_HISTORY,ZMAILING_ADDRESS,ZSTAFF,ZPHYSICAL_ADDRESS,ZROOM,ZPHONE,ZTITLE,ZFAX,ZDISTRICT_NUMBER,GOVERNANCE,ZCOMMITTEES,ZOFFICE_3,ZLINK,ZPARTY,GOVERNANCE_LEVEL,ZCONTACT_FORM,ZOFFICE_5,ZOFFICE_4,ZTWITTER,,ZDISTRICT_MAP,ZIMAGE,ZIMAGE_FILENAME,ZFIRSTNAME,ZLASTNAME
47,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=45&Legislature=49&Session_ID=87,"-Appropriations
-Education
-Health and Human Services",scourt@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",118,(602) 926-4467,Rep.,(602) 417-3018,,District 18,"-Appropriations
-Education
-Health and Human Services",,,R,Arizona House,,,,none listed,,,y,Steve Court.gif,Steve,Court
48,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=17&Legislature=49&Session_ID=87,"-Appropriations
-Commerce
-Education",rcrandall@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",113,(602) 926-3020,Rep.,(602) 417-3119,,District 19,"-Appropriations
-Commerce
-Education",,,R,Arizona House,,,,none listed,,,y,Rich Crandall.gif,Rich,Crandall
49,,,http://www.samcrump.com/,http://www.azleg.gov/MembersPage.asp?Member_ID=18&Legislature=49&Session_ID=87,"-Government
-Military Affairs and Public Safety
-Transportation and Infrastructure",scrump@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",302,(602) 926-3014,Rep.,(602) 417-3048,,District 6,"-Government
-Military Affairs and Public Safety
-Transportation and Infrastructure",,,D,Arizona House,,,,none listed,,,y,Sam Crump.gif,Sam,Crump
50,,,http://descheneforarizona.com/chris-deschene,http://www.azleg.gov/MembersPage.asp?Member_ID=56&Legislature=49&Session_ID=87,"-Natural Resources and Rural Affairs
-Water and Energy",cdeschene@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",325,(602) 926-5862,Rep.,(602) 417-3102,,District 2,"-Natural Resources and Rural Affairs
-Water and Energy",,,R,Arizona House,,,,none listed,,,y,Christopher Deschene.gif,Christopher,Deschene
51,,,http://adamdriggs.com/,http://www.azleg.gov/MembersPage.asp?Member_ID=20&Legislature=49&Session_ID=87,"-Government
-Judiciary",adriggs@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",222,(602) 926-3016,Rep.,(602) 417-3007,,District 11,"-Government
-Judiciary",,,D,Arizona House,,,,none listed,,,y,Adam Driggs.jpg,Adam,Driggs
52,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=21&Legislature=49&Session_ID=87,"-Transportation and Infrastructure
-Ways and Means",sfarley@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",119,(602) 926-3022,Rep.,(602) 417-3128,,District 28,"-Transportation and Infrastructure
-Ways and Means",,,D,Arizona House,,,,none listed,,,y,Steve Farley.jpg,Steve,Farley
53,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=7&Legislature=49&Session_ID=87,"-Military Affairs and Public Safety
-Natural Resources and Rural Affairs",pfleming@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",125,(602) 926-5836,Rep.,(602) 417-3125,,District 25,"-Military Affairs and Public Safety
-Natural Resources and Rural Affairs",,,D,Arizona House,,,,none listed,,,y,Patricia V. Fleming.jpg,Patricia V.,Fleming
54,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=24&Legislature=49&Session_ID=87,"-Environment
-Rules",mgarcia@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",335,(602) 926-5830,Rep.,(602) 417-3113,,District 13,"-Environment
-Rules",,,R,Arizona House,,,,none listed,,,y,Martha Garcia.jpg,Martha,Garcia
55,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=25&Legislature=49&Session_ID=87,"-Education
-Health and Human Services
-Water and Energy",dgoodale@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",310,(602) 926-5408,Rep.,(602) 417-3103,,District 3,"-Education
-Health and Human Services
-Water and Energy",,,R,Arizona House,,,,none listed,,,y,Doris Goodale.jpg,Doris,Goodale
56,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=44&Legislature=49&Session_ID=87,"-Government
-Military Affairs and Public Safety",dgowan@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",117,(602) 926-3312,Rep.,(602) 417-3130,,District 30,"-Government
-Military Affairs and Public Safety",,,D,Arizona House,,,,none listed,,,y,David Gowan.jpg,David,Gowan
57,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=31&Legislature=49&Session_ID=87,"-Appropriations
-Public Employees, Retirement and Entitlement Reform
",mheinz@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",126,(602) 926-3424,Rep.,(602) 417-3129,,District 29,"-Appropriations
-Public Employees, Retirement and Entitlement Reform
",,,R,Arizona House,,,,none listed,,,y,Matt Heinz.jpg,Matt,Heinz
58,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=22&Legislature=49&Session_ID=87,"-Commerce
-Education",lhendrix@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",344,(602) 926-5735,Rep.,(602) 417-3122,,District 22,"-Commerce
-Education",,,R,Arizona House,,,,none listed,,,y,Laurin Hendrix.jpg,Laurin,Hendrix
59,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=57&Legislature=49&Session_ID=87,"-Appropriations
-Environment
-Natural Resources and Rural Affairs",rjones@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",345,(602) 926-3002,Rep.,(602) 417-3124,,District 24,"-Appropriations
-Environment
-Natural Resources and Rural Affairs",,,R,Arizona House,,,,none listed,,,y,Russell L. Jones.jpg,Russell L.,Jones
60,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=27&Legislature=49&Session_ID=87,-Appropriations,jkavanagh@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",114,(602) 926-5170,Rep.,(602) 417-3108,,District 8,-Appropriations,,,R,Arizona House,,,,none listed,,,y,John Kavanagh.jpg,John,Kavanagh
61,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=29&Legislature=49&Session_ID=87,"-Commerce
-Judiciary
-Natural Resources and Rural Affairs",bkonopnicki@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",219,(602) 926-5409,Rep.,(602) 417-3105,,District 5,"-Commerce
-Judiciary
-Natural Resources and Rural Affairs",,,R,Arizona House,,,,none listed,,,y,Bill Konopnicki.jpg,Bill,Konopnicki
62,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=53&Legislature=49&Session_ID=87,"-Public Employees, Retirement and Entitlement Reform
-Ways and Means",dlesko@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",129,(602) 926-5413,Rep.,(602) 417-3109,,District 9,"-Public Employees, Retirement and Entitlement Reform
-Ways and Means",,,D,Arizona House,,,,none listed,,,y,Debbie Lesko.jpg,Debbie,Lesko
63,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=30&Legislature=49&Session_ID=87,"-Health and Human Services
-Public Employees, Retirement and Entitlement Reform",plopes@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",330,(602) 926-3278,Minority Leader,(602) 417-3127,,District 27,"-Health and Human Services
-Public Employees, Retirement and Entitlement Reform",,,D,Arizona House,,,,none listed,,,y,Phil Lopes.jpg,Phil,Lopes
64,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=32&Legislature=49&Session_ID=87,none listed,dlujan@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",320,(602) 926-5829,Rep.,(602) 417-3115,,District 15,none listed,,,R,Arizona House,,,,none listed,,,y,David Lujan.jpg,David,Lujan
65,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=33&Legislature=49&Session_ID=87,"-Environment
-Water and Energy",lmason@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",304,(602) 926-5874,Majority Leader,(602) 417-3001,,District 1,"-Environment
-Water and Energy",,,R,Arizona House,,,,none listed,,,y,Lucy Mason.jpg,Lucy,Mason
66,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=35&Legislature=49&Session_ID=87,-Rules,jmccomish@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",206,(602) 926-5898,Rep.,(602) 417-3020,,District 20,-Rules,,,D,Arizona House,,,,none listed,,,y,John McComish.jpg,John,McComish
67,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=36&Legislature=49&Session_ID=87,"-Environment
-Military Affairs and Public Safety
",bmcguire@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",322,(602) 926-3012,Rep.,(602) 417-3123,,District 23,"-Environment
-Military Affairs and Public Safety
",,,R,Arizona House,,,,none listed,,,y,Barbara McGuire.jpg,Barbara,McGuire
68,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=37&Legislature=49&Session_ID=87,"-Appropriations
-Banking and Insurance
-Transportation and Infrastructure",nmclain@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",303,(602) 926-5051,Rep.,(602) 417-3003,,District 3,"-Appropriations
-Banking and Insurance
-Transportation and Infrastructure",,,D,Arizona House,,,,none listed,,,y,Nancy McLain.jpg,Nancy,McLain
69,,,ericforaz.com,http://www.azleg.gov/MembersPage.asp?Member_ID=93&Legislature=49&Session_ID=87,"-Education
-Transportation and Infrastructure",emeyer@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",121,(602) 926-3037,Rep.,(602) 417-3111,,District 11,"-Education
-Transportation and Infrastructure",,,D,Arizona House,,,,none listed,,,y,Eric Meyer.jpg,Eric,Meyer
70,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=38&Legislature=49&Session_ID=87,"-Banking and Insurance
-Commerce",rmeza@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",339,(602) 926-3425,Rep.,(602) 417-3114,,District 14,"-Banking and Insurance
-Commerce",,,D,Arizona House,,,,none listed,,,y,Robert Meza.jpg,Robert,Meza
71,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=39&Legislature=49&Session_ID=87,"-Judiciary
-Rules
",bmiranda@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",323,(602) 926-4893,Rep.,(602) 417-3116,,District 16,"-Judiciary
-Rules
",,,R,Arizona House,,,,none listed,,,y,Ben R. Miranda.jpg,Ben R.,Miranda
72,,,montenegroaz.com,http://www.azleg.gov/MembersPage.asp?Member_ID=41&Legislature=49&Session_ID=87,"-Government
-Judiciary",smontenegro@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",309,(602) 926-5955,Rep.,(602) 417-3168,,District 12,"-Government
-Judiciary",,,R,Arizona House,,,,none listed,,,y,Steve B. Montenegro.jpg,Steve B.,Montenegro
73,,,www.rickmurphyaz.com,http://www.azleg.gov/MembersPage.asp?Member_ID=40&Legislature=49&Session_ID=87,"-Appropriations
-Health and Human Servies
-Ways and Means",rmurphy@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",111,(602) 926-3255,Rep.,(602) 417-3009,,District 9,"-Appropriations
-Health and Human Servies
-Ways and Means",,,R,Arizona House,,,,none listed,,,y,Rick Murphy.jpg,Rick,Murphy
74,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=42&Legislature=49&Session_ID=87,"-Government
-Rules",wnichols@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",306,(602) 926-5168,Rep.,(602) 417-3021,,District 21,"-Government
-Rules",,,D,Arizona House,,,,none listed,,,y,Warde V. Nichols.jpg,Warde V.,Nichols
75,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=43&Legislature=49&Session_ID=87,"-Natural Resources and Rural Affairs
-Public Employees, Retirement and Entitlement Reform
",lpancrazi@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",324,(602) 926-3004,Rep.,(602) 417-3179,,District 24,"-Natural Resources and Rural Affairs
-Public Employees, Retirement and Entitlement Reform
",,,D,Arizona House,,,,none listed,,,y,Lynne Pancrazi.jpg,Lynne,Pancrazi
76,,,danielpatterson.net,http://www.azleg.gov/MembersPage.asp?Member_ID=46&Legislature=49&Session_ID=87,"-Military Affairs and Public Safety
-Water and Energy",dpatterson@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",123,(602) 926-5342,Rep.,(602) 417-3169,,District 29,"-Military Affairs and Public Safety
-Water and Energy",,,R,Arizona House,,,,none listed,,,y,Daniel Patterson.jpg,Daniel,Patterson
77,,,pratt4az.com,http://www.azleg.gov/MembersPage.asp?Member_ID=48&Legislature=49&Session_ID=87,"-Commerce
-Environment
-Natural Resources and Rural Affairs",fpratt@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",115,(602) 926-5761,Rep.,(602) 417-3023,,District 23,"-Commerce
-Environment
-Natural Resources and Rural Affairs",,,R,Arizona House,,,,none listed,,,y,Frank Pratt.jpg,Frank,Pratt
78,,,dougquelland.net,http://www.azleg.gov/MembersPage.asp?Member_ID=54&Legislature=49&Session_ID=87,"-Banking and Insurance
-Environment
-Water and Energy",dquelland@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",128,(602) 926-3024,Rep.,(602) 417-3110,,District 10,"-Banking and Insurance
-Environment
-Water and Energy",,,R,Arizona House,,,,none listed,,,y,Doug Quelland.jpg,Doug,Quelland
79,,,votereagan.com,http://www.azleg.gov/MembersPage.asp?Member_ID=47&Legislature=49&Session_ID=87,"-Commerce
-Ways and Means",mreagan@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",220,(602) 926-5828,Rep.,(602) 417-3008,,District 8,"-Commerce
-Ways and Means",,,D,Arizona House,,,,none listed,,,y,Michele Reagan.jpg,Michele,Reagan
80,,,davidschapira.com,http://www.azleg.gov/MembersPage.asp?Member_ID=51&Legislature=49&Session_ID=87,"-Appropriations
-Education",dschapira@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",332,(602) 926-3028,Rep.,(602) 417-3038,,District 17,"-Appropriations
-Education",,,R,Arizona House,,,,none listed,,,y,David Schapira.jpg,David,Schapira
81,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=16&Legislature=49&Session_ID=87,"-Banking and Insurance
-Military Affairs and Public Safety",cseel@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",341,(602) 926-3018,Assistant Minority Leader,(602) 417-3006,,District 6,"-Banking and Insurance
-Military Affairs and Public Safety",,,D,Arizona House,,,,none listed,,,y,Carl Seel.jpg,Carl,Seel
82,,,http://ksinema.org/,http://www.azleg.gov/MembersPage.asp?Member_ID=52&Legislature=49&Session_ID=87,"-Appropriations
-Judiciary",ksinema@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",321,(602) 926-5058,Rep.,(602) 417-3015,,District 15,"-Appropriations
-Judiciary",,,R,Arizona House,,,,none listed,,,y,Kyrsten Sinema.jpg,Kyrsten,Sinema
83,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=12&Legislature=49&Session_ID=87,"-Military Affairs and Public Safety
-Natural Resources and Rural Affairs
-Water and Energy",dstevens@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",116,(602) 926-4321,Majority Whip,(602) 417-3146,,District 25,"-Military Affairs and Public Safety
-Natural Resources and Rural Affairs
-Water and Energy",,,R,Arizona House,,,,none listed,,,y,David W. Stevens.jpg,David W.,Stevens
84,,,http://andytobin.com/,http://www.azleg.gov/MembersPage.asp?Member_ID=55&Legislature=49&Session_ID=87,"-Banking and Insurance
-Rules",atobin@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",217,(602) 926-5172,Rep.,(602) 417-3085,,District 1,"-Banking and Insurance
-Rules",,,D,Arizona House,,,,none listed,,,y,Andrew M. Tobin.jpg,Andrew M.,Tobin
85,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=125&Legislature=49&Session_ID=87,"-Government
-Judiciary",atovar@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",325,(602) 926-3392,Rep.,(602) 417-3085,,District 13,"-Government
-Judiciary",,,D,Arizona House,,,,none listed,,,y,Anna Tovar.jpg,Anna,Tovar
86,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=49&Legislature=49&Session_ID=87,"-Education
-Transportation and Infrastructure",rwaters@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",122,(602) 926-5550,Rep.,(602) 417-3120,,District 20,"-Education
-Transportation and Infrastructure",,,R,Arizona House,,,,none listed,,,y,Rae Waters.jpg,Rae,Waters
87,,,http://jimweiers.com/,http://www.azleg.gov/MembersPage.asp?Member_ID=59&Legislature=49&Session_ID=87,none listed,jweiers@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",223,(602) 926-4173,Rep.,(602) 417-3153,,District 10,none listed,,,R,Arizona House,,,,none listed,,,y,Jim Weiers.jpg,Jim,Weiers
88,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=58&Legislature=49&Session_ID=87,"-Military Affairs and Public Safety
-Natural Resources and Rural Affairs
-Water and Energy",jpweiers@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",131,(602) 926-5894,Rep.,(602) 417-3012,,District 12,"-Military Affairs and Public Safety
-Natural Resources and Rural Affairs
-Water and Energy",,,R,Arizona House,,,,none listed,,,y,Jerry Weiers.jpg,Jerry,Weiers
89,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=26&Legislature=49&Session_ID=87,"-Appropriations
-Education
-Public Employees, Retirement and Entitlement Reform",vwilliams@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",308,(602) 926-5839,Speaker Pro Tempore,(602) 417-3026,,District 26,"-Appropriations
-Education
-Public Employees, Retirement and Entitlement Reform",,,R,Arizona House,,,,none listed,,,y,Vic Williams.jpg,Vic,Williams
90,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=60&Legislature=49&Session_ID=87,"-Rules
-Ways and Means",syarbrough@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",218,(602) 926-5863,Rep.,(602) 417-3121,,District 21,"-Rules
-Ways and Means",,,D,Arizona House,,,,none listed,,,y,Steven B. Yarbrough.jpg,Steven B.,Yarbrough
91,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=92&Legislature=49&Session_ID=87,"-Education
-Water and Energy",nyoungwright@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,,329,(602) 926-3398,Rep.,(602) 417-3126,,District 26,"-Education
-Water and Energy",,,R,Arizona House,,,,,,,y,Nancy Young Wright.jpg,Nancy,Young Wright
92,,,http://www.kirkpatrickforarizona.com/,http://kirkpatrick.house.gov/,"-Committee on Homeland Security
-Committee on Small Business
-Committee on Veterans' Affairs
-Border, Maritime, and Global Counterterrorism Subcommittee (HHM)
-Disability Assistance and Memorial Affairs Subcommittee (Veteran's Affairs)
-Economic Opportunity Subcommittee (Veteran's Affairs)
-Finance and Tax Subcommittee (Small Business)
-Intelligence, Information Sharing, and Terrorism Risk Assessment Subcommittee (HHM)
-Rural Development, Entrepreneurship and Trade Subcommittee (Small Business)
-Transportation Security and Infrastructure Protection Subcommittee (HHM)",none listed,,"1123 Longworth House Office Building 
Washington, DC 20515 ",,,,(202) 225-2315 :(D.C. office) * (928) 226-6914 :(Coconino County office) * (520) 836-3226 :(Pinal County office) * (928) 445-3434 :(Yavapai County office),U.S. Rep.,(202) 226-9739 :(D.C. office),,District 1,"-Committee on Homeland Security
-Committee on Small Business
-Committee on Veterans' Affairs
-Border, Maritime, and Global Counterterrorism Subcommittee (HHM)
-Disability Assistance and Memorial Affairs Subcommittee (Veteran's Affairs)
-Economic Opportunity Subcommittee (Veteran's Affairs)
-Finance and Tax Subcommittee (Small Business)
-Intelligence, Information Sharing, and Terrorism Risk Assessment Subcommittee (HHM)
-Rural Development, Entrepreneurship and Trade Subcommittee (Small Business)
-Transportation Security and Infrastructure Protection Subcommittee (HHM)","Coconino County Office
1515 East Cedar Avenue, A6
Flagstaff, AZ 86004",,D,U.S House of Representatives,https://forms.house.gov/kirkpatrick/dc-contact-form.shtml,"Yavapai County Office
240 S. Montezuma St, #101 
Prescott, AZ 86303","Pinal County Office
211 N. Florence Street, Suite 3 
Casa Grande, AZ 85122 ",none listed,,,y,Ann Kirkpatrick.jpg,Ann,Kirkpatrick
93,,,https://www.trentfranks.com/index_secure.shtml,http://www.house.gov/franks/,"-Committee on Armed Services
-Committee on the Judiciary
-Commercial and Administrative Law Subcommittee (Judiciary)
-Constitution, Civil Rights, and Civil Liberties Subcommittee (Judiciary)
-Oversight and Investigations Subcommittee(Armed Services)
-Readiness Subcommittee (Armed Services)
-Strategic Forces Subcommittee (Armed Services)",none listed,,"2435 Rayburn House Office Building
Washington, DC 20515",,,,(202) 225-4576 :(D.C. office) * (623) 776-7911 :(District office),U.S. Rep.,(202) 225-6328 :(D.C. office) * (623) 776-7832 :(District office),,District 2,"-Committee on Armed Services
-Committee on the Judiciary
-Commercial and Administrative Law Subcommittee (Judiciary)
-Constitution, Civil Rights, and Civil Liberties Subcommittee (Judiciary)
-Oversight and Investigations Subcommittee(Armed Services)
-Readiness Subcommittee (Armed Services)
-Strategic Forces Subcommittee (Armed Services)","7121 West Bell Road
Suite 200
Glendale, AZ 85308
",,R,U.S House of Representatives,https://forms.house.gov/franks/email_zipcheck.shtml,,,none listed,,,y,Trent Franks.jpg,Trent,Franks
